date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:06:23	75180/75180	---M-Z	200	added ('OK')	text/html	date:Fri,%2016%20Nov%202018%2005:53:21%20GMT	https://www.w3schools.com/js/js_string_methods.asp	/home/ik_2dw3/My%20Web%20Sites/JavaScript/www.w3schools.com/js/js_string_methods.html	(from https://www.w3schools.com/js/)
19:06:24	70465/70465	---M-Z	200	added ('OK')	text/html	date:Fri,%2016%20Nov%202018%2009:58:02%20GMT	https://www.w3schools.com/js/js_numbers.asp	/home/ik_2dw3/My%20Web%20Sites/JavaScript/www.w3schools.com/js/js_numbers.html	(from https://www.w3schools.com/js/)
19:06:25	67430/67430	---M-Z	200	added ('OK')	text/html	date:Fri,%2016%20Nov%202018%2007:53:05%20GMT	https://www.w3schools.com/js/js_number_methods.asp	/home/ik_2dw3/My%20Web%20Sites/JavaScript/www.w3schools.com/js/js_number_methods.html	(from https://www.w3schools.com/js/)
19:06:26	72699/72699	---M-Z	200	added ('OK')	text/html	date:Fri,%2016%20Nov%202018%2006:58:58%20GMT	https://www.w3schools.com/js/js_arrays.asp	/home/ik_2dw3/My%20Web%20Sites/JavaScript/www.w3schools.com/js/js_arrays.html	(from https://www.w3schools.com/js/)
19:06:27	71297/71297	---M-Z	200	added ('OK')	text/html	date:Fri,%2016%20Nov%202018%2007:03:26%20GMT	https://www.w3schools.com/js/js_array_methods.asp	/home/ik_2dw3/My%20Web%20Sites/JavaScript/www.w3schools.com/js/js_array_methods.html	(from https://www.w3schools.com/js/)
19:06:28	63972/63972	---M-Z	200	added ('OK')	text/html	date:Fri,%2016%20Nov%202018%2008:29:16%20GMT	https://www.w3schools.com/js/js_array_sort.asp	/home/ik_2dw3/My%20Web%20Sites/JavaScript/www.w3schools.com/js/js_array_sort.html	(from https://www.w3schools.com/js/)
19:06:29	75118/75118	---M-Z	200	added ('OK')	text/html	date:Fri,%2016%20Nov%202018%2010:39:13%20GMT	https://www.w3schools.com/js/js_array_iteration.asp	/home/ik_2dw3/My%20Web%20Sites/JavaScript/www.w3schools.com/js/js_array_iteration.html	(from https://www.w3schools.com/js/)
19:06:30	64907/64907	---M-Z	200	added ('OK')	text/html	date:Fri,%2016%20Nov%202018%2005:57:09%20GMT	https://www.w3schools.com/js/js_dates.asp	/home/ik_2dw3/My%20Web%20Sites/JavaScript/www.w3schools.com/js/js_dates.html	(from https://www.w3schools.com/js/)
19:06:31	61908/61908	---M-Z	200	added ('OK')	text/html	date:Fri,%2016%20Nov%202018%2010:25:10%20GMT	https://www.w3schools.com/js/js_date_formats.asp	/home/ik_2dw3/My%20Web%20Sites/JavaScript/www.w3schools.com/js/js_date_formats.html	(from https://www.w3schools.com/js/)
19:06:32	62410/62410	---M-Z	200	added ('OK')	text/html	date:Fri,%2016%20Nov%202018%2009:11:57%20GMT	https://www.w3schools.com/js/js_date_methods.asp	/home/ik_2dw3/My%20Web%20Sites/JavaScript/www.w3schools.com/js/js_date_methods.html	(from https://www.w3schools.com/js/)
19:06:33	60382/60382	---M-Z	200	added ('OK')	text/html	date:Fri,%2016%20Nov%202018%2011:30:04%20GMT	https://www.w3schools.com/js/js_date_methods_set.asp	/home/ik_2dw3/My%20Web%20Sites/JavaScript/www.w3schools.com/js/js_date_methods_set.html	(from https://www.w3schools.com/js/)
19:06:34	63205/63205	---M-Z	200	added ('OK')	text/html	date:Fri,%2016%20Nov%202018%2011:02:17%20GMT	https://www.w3schools.com/js/js_math.asp	/home/ik_2dw3/My%20Web%20Sites/JavaScript/www.w3schools.com/js/js_math.html	(from https://www.w3schools.com/js/)
19:06:35	57690/57690	---M-Z	200	added ('OK')	text/html	date:Fri,%2016%20Nov%202018%2010:17:27%20GMT	https://www.w3schools.com/js/js_random.asp	/home/ik_2dw3/My%20Web%20Sites/JavaScript/www.w3schools.com/js/js_random.html	(from https://www.w3schools.com/js/)
19:06:36	62125/62125	---M-Z	200	added ('OK')	text/html	date:Fri,%2016%20Nov%202018%2006:56:06%20GMT	https://www.w3schools.com/js/js_booleans.asp	/home/ik_2dw3/My%20Web%20Sites/JavaScript/www.w3schools.com/js/js_booleans.html	(from https://www.w3schools.com/js/)
19:06:37	63048/63048	---M-Z	200	added ('OK')	text/html	date:Fri,%2016%20Nov%202018%2008:10:36%20GMT	https://www.w3schools.com/js/js_comparisons.asp	/home/ik_2dw3/My%20Web%20Sites/JavaScript/www.w3schools.com/js/js_comparisons.html	(from https://www.w3schools.com/js/)
19:06:38	59861/59861	---M-Z	200	added ('OK')	text/html	date:Fri,%2016%20Nov%202018%2004:47:00%20GMT	https://www.w3schools.com/js/js_if_else.asp	/home/ik_2dw3/My%20Web%20Sites/JavaScript/www.w3schools.com/js/js_if_else.html	(from https://www.w3schools.com/js/)
19:06:39	62471/62471	---M-Z	200	added ('OK')	text/html	date:Fri,%2016%20Nov%202018%2009:49:51%20GMT	https://www.w3schools.com/js/js_switch.asp	/home/ik_2dw3/My%20Web%20Sites/JavaScript/www.w3schools.com/js/js_switch.html	(from https://www.w3schools.com/js/)
19:06:40	60431/60431	---M-Z	200	added ('OK')	text/html	date:Fri,%2016%20Nov%202018%2010:25:40%20GMT	https://www.w3schools.com/js/js_loop_for.asp	/home/ik_2dw3/My%20Web%20Sites/JavaScript/www.w3schools.com/js/js_loop_for.html	(from https://www.w3schools.com/js/)
19:06:41	58404/58404	---M-Z	200	added ('OK')	text/html	date:Fri,%2016%20Nov%202018%2008:24:35%20GMT	https://www.w3schools.com/js/js_loop_while.asp	/home/ik_2dw3/My%20Web%20Sites/JavaScript/www.w3schools.com/js/js_loop_while.html	(from https://www.w3schools.com/js/)
19:06:42	58049/58049	---M-Z	200	added ('OK')	text/html	date:Fri,%2016%20Nov%202018%2004:40:37%20GMT	https://www.w3schools.com/js/js_break.asp	/home/ik_2dw3/My%20Web%20Sites/JavaScript/www.w3schools.com/js/js_break.html	(from https://www.w3schools.com/js/)
19:06:43	75606/75606	---M-Z	200	added ('OK')	text/html	date:Fri,%2016%20Nov%202018%2011:34:24%20GMT	https://www.w3schools.com/js/js_type_conversion.asp	/home/ik_2dw3/My%20Web%20Sites/JavaScript/www.w3schools.com/js/js_type_conversion.html	(from https://www.w3schools.com/js/)
19:06:44	65861/65861	---M-Z	200	added ('OK')	text/html	date:Fri,%2016%20Nov%202018%2008:38:20%20GMT	https://www.w3schools.com/js/js_bitwise.asp	/home/ik_2dw3/My%20Web%20Sites/JavaScript/www.w3schools.com/js/js_bitwise.html	(from https://www.w3schools.com/js/)
19:06:45	64280/64280	---M-Z	200	added ('OK')	text/html	date:Fri,%2016%20Nov%202018%2009:08:29%20GMT	https://www.w3schools.com/js/js_regexp.asp	/home/ik_2dw3/My%20Web%20Sites/JavaScript/www.w3schools.com/js/js_regexp.html	(from https://www.w3schools.com/js/)
19:06:46	66317/66317	---M-Z	200	added ('OK')	text/html	date:Fri,%2016%20Nov%202018%2006:34:29%20GMT	https://www.w3schools.com/js/js_errors.asp	/home/ik_2dw3/My%20Web%20Sites/JavaScript/www.w3schools.com/js/js_errors.html	(from https://www.w3schools.com/js/)
19:06:47	58620/58620	---M-Z	200	added ('OK')	text/html	date:Fri,%2016%20Nov%202018%2008:04:09%20GMT	https://www.w3schools.com/js/js_scope.asp	/home/ik_2dw3/My%20Web%20Sites/JavaScript/www.w3schools.com/js/js_scope.html	(from https://www.w3schools.com/js/)
19:06:48	58703/58703	---M-Z	200	added ('OK')	text/html	date:Fri,%2016%20Nov%202018%2005:29:49%20GMT	https://www.w3schools.com/js/js_hoisting.asp	/home/ik_2dw3/My%20Web%20Sites/JavaScript/www.w3schools.com/js/js_hoisting.html	(from https://www.w3schools.com/js/)
19:06:49	65445/65445	---M-Z	200	added ('OK')	text/html	date:Fri,%2016%20Nov%202018%2009:43:02%20GMT	https://www.w3schools.com/js/js_strict.asp	/home/ik_2dw3/My%20Web%20Sites/JavaScript/www.w3schools.com/js/js_strict.html	(from https://www.w3schools.com/js/)
19:06:50	60329/60329	---M-Z	200	added ('OK')	text/html	date:Fri,%2016%20Nov%202018%2005:00:48%20GMT	https://www.w3schools.com/js/js_this.asp	/home/ik_2dw3/My%20Web%20Sites/JavaScript/www.w3schools.com/js/js_this.html	(from https://www.w3schools.com/js/)
19:06:51	66502/66502	---M-Z	200	added ('OK')	text/html	date:Fri,%2016%20Nov%202018%2008:11:43%20GMT	https://www.w3schools.com/js/js_let.asp	/home/ik_2dw3/My%20Web%20Sites/JavaScript/www.w3schools.com/js/js_let.html	(from https://www.w3schools.com/js/)
